",Date,Time,TargetTemp,ActualTemp,System,SystemAge,BuildingID\n"
"6236,6/27/2013,3:33:07,68,57,1,6,17\n"
"7567,6/8/2013,0:33:07,70,67,1,12,14\n"
"3360,6/1/2013,6:13:20,67,67,1,7,9\n"
"4655,6/6/2013,15:13:19,66,58,1,8,18\n"
"2377,6/8/2013,21:43:51,67,73,1,11,4\n"
"7571,6/12/2013,4:33:07,65,71,1,11,14\n"
"7580,6/21/2013,13:33:07,70,67,1,26,1\n"
"738,6/19/2013,23:43:51,67,58,1,30,3\n"
"1487,6/18/2013,9:13:19,69,75,1,8,15\n"
"338,6/9/2013,2:33:07,69,78,1,15,18\n"
"7041,6/22/2013,21:33:07,66,79,1,15,15\n"
"3219,6/10/2013,4:45:56,67,77,1,8,19\n"
"2385,6/16/2013,5:13:20,66,69,1,9,14\n"
"6085,6/26/2013,20:43:51,66,60,1,24,8\n"
"4248,6/19/2013,11:43:51,65,78,1,3,12\n"
"3673,6/14/2013,7:13:19,67,75,1,24,20\n"
"744,6/25/2013,5:13:20,66,75,1,15,10\n"
"4954,6/5/2013,7:13:19,65,61,1,11,8\n"
"6082,6/23/2013,17:43:51,70,79,1,9,3\n"
"1862,6/3/2013,5:33:07,67,63,1,14,18\n"
"1501,6/2/2013,23:13:19,66,78,1,20,11\n"
"7627,6/8/2013,12:45:56,70,56,1,6,10\n"
"2204,6/15/2013,16:00:01,70,58,1,27,12\n"
"1504,6/5/2013,2:43:51,69,55,1,4,11\n"
"5378,6/9/2013,23:13:20,69,65,1,8,18\n"
"4951,6/2/2013,4:13:19,67,56,1,29,17\n"
"4245,6/16/2013,8:43:51,66,73,1,5,8\n"
"4949,6/30/2013,2:13:19,65,71,1,30,16\n"
"7063,6/14/2013,19:45:56,65,71,1,3,11\n"
"2372,6/3/2013,16:43:51,67,56,1,27,9\n"
"7525,6/26/2013,6:43:51,66,67,1,20,5\n"
"7526,6/27/2013,7:43:51,66,74,1,6,13\n"
"2363,6/24/2013,7:43:51,69,60,1,30,13\n"
"381,6/22/2013,21:00:01,66,56,1,12,17\n"
"6480,6/1/2013,7:33:07,69,67,1,2,18\n"
"2812,6/23/2013,5:13:20,66,70,1,5,11\n"
"5384,6/15/2013,5:33:07,65,73,1,5,18\n"
"7538,6/9/2013,19:43:51,69,70,1,12,4\n"
"6133,6/14/2013,20:33:07,66,71,1,3,7\n"
"1879,6/20/2013,22:33:07,68,64,1,5,15\n"
"5129,6/30/2013,14:13:20,67,62,1,8,17\n"
"1169,6/30/2013,3:13:20,68,68,1,30,14\n"
"717,6/28/2013,2:43:51,67,73,1,21,6\n"
"4237,6/8/2013,0:43:51,67,75,1,18,8\n"
"1167,6/28/2013,1:13:20,65,61,1,17,13\n"
"2215,6/26/2013,3:13:19,66,75,1,30,17\n"
"3907,6/8/2013,6:13:20,66,67,1,26,20\n"
"3071,6/12/2013,0:33:07,68,59,1,29,18\n"
"3697,6/8/2013,7:43:51,65,70,1,20,19\n"
"4441,6/2/2013,17:43:51,67,65,1,15,11\n"
"3687,6/28/2013,21:13:19,68,63,1,19,18\n"
"6102,6/13/2013,13:13:20,67,56,1,22,15\n"
"1870,6/11/2013,13:33:07,65,68,1,13,2\n"
"5136,6/7/2013,21:13:20,68,56,1,27,5\n"
"6100,6/11/2013,11:13:20,67,76,1,5,11\n"
"3356,6/27/2013,2:13:20,65,56,1,8,16\n"
"5153,6/24/2013,14:33:07,65,63,1,29,20\n"
"2030,6/21/2013,5:13:19,65,67,1,9,10\n"
"753,6/4/2013,14:13:20,70,77,1,12,3\n"
"4078,6/29/2013,9:00:01,69,75,1,6,20\n"
"4561,6/2/2013,17:43:51,66,79,1,14,4\n"
"4072,6/23/2013,3:00:01,67,57,1,25,5\n"
"268,6/29/2013,4:13:19,70,65,1,14,18\n"
"2828,6/9/2013,21:13:20,66,69,1,19,7\n"
"4259,6/30/2013,22:43:51,70,71,1,5,2\n"
"5175,6/16/2013,12:00:01,68,71,1,19,15\n"
"6984,6/25/2013,12:43:51,69,65,1,2,7\n"
"5176,6/17/2013,13:00:01,70,72,1,10,20\n"
"6552,6/13/2013,7:45:56,65,73,1,30,17\n"
"6974,6/15/2013,2:43:51,66,63,1,24,3\n"
"2176,6/17/2013,7:45:56,66,67,1,14,17\n"
"253,6/14/2013,13:00:01,67,57,1,13,13\n"
"4408,6/29/2013,8:13:19,65,62,1,12,2\n"
"251,6/12/2013,11:00:01,65,74,1,30,13\n"
"6962,6/3/2013,14:13:19,65,68,1,13,7\n"
"807,6/28/2013,20:00:01,66,62,1,23,15\n"
"1110,6/1/2013,16:00:01,67,61,1,14,16\n"
"1836,6/7/2013,3:13:20,67,57,1,28,3\n"
"2602,6/23/2013,6:43:51,67,80,1,2,3\n"
"4070,6/21/2013,1:00:01,68,75,1,6,8\n"
"1102,6/23/2013,8:00:01,70,79,1,10,12\n"
"2834,6/15/2013,3:33:07,69,68,1,13,14\n"
"6952,6/23/2013,4:13:19,66,73,1,4,14\n"
"2936,6/27/2013,9:13:20,65,63,1,27,7\n"
"784,6/5/2013,21:33:07,65,66,1,10,7\n"
"7007,6/18/2013,11:13:20,66,70,1,21,14\n"
"7686,6/7/2013,4:13:19,70,78,1,10,10\n"
