System,Date,Time,TargetTemp,ActualTemp,SystemAge,BuildingID
1,6/27/2013,3:33:07,68,57,6,17
1,6/8/2013,0:33:07,70,67,12,14
1,6/1/2013,6:13:20,67,67,7,9
1,6/6/2013,15:13:19,66,58,8,18
1,6/8/2013,21:43:51,67,73,11,4
1,6/12/2013,4:33:07,65,71,11,14
1,6/21/2013,13:33:07,70,67,26,1
1,6/19/2013,23:43:51,67,58,30,3
1,6/18/2013,9:13:19,69,75,8,15
1,6/9/2013,2:33:07,69,78,15,18
1,6/22/2013,21:33:07,66,79,15,15
1,6/10/2013,4:45:56,67,77,8,19
1,6/16/2013,5:13:20,66,69,9,14
1,6/26/2013,20:43:51,66,60,24,8
1,6/19/2013,11:43:51,65,78,3,12
1,6/14/2013,7:13:19,67,75,24,20
1,6/25/2013,5:13:20,66,75,15,10
1,6/5/2013,7:13:19,65,61,11,8
1,6/23/2013,17:43:51,70,79,9,3
1,6/3/2013,5:33:07,67,63,14,18
1,6/2/2013,23:13:19,66,78,20,11
1,6/8/2013,12:45:56,70,56,6,10
1,6/15/2013,16:00:01,70,58,27,12
1,6/5/2013,2:43:51,69,55,4,11
1,6/9/2013,23:13:20,69,65,8,18
1,6/2/2013,4:13:19,67,56,29,17
1,6/16/2013,8:43:51,66,73,5,8
1,6/30/2013,2:13:19,65,71,30,16
1,6/14/2013,19:45:56,65,71,3,11
1,6/3/2013,16:43:51,67,56,27,9
1,6/26/2013,6:43:51,66,67,20,5
1,6/27/2013,7:43:51,66,74,6,13
1,6/24/2013,7:43:51,69,60,30,13
1,6/22/2013,21:00:01,66,56,12,17
1,6/1/2013,7:33:07,69,67,2,18
1,6/23/2013,5:13:20,66,70,5,11
1,6/15/2013,5:33:07,65,73,5,18
1,6/9/2013,19:43:51,69,70,12,4
1,6/14/2013,20:33:07,66,71,3,7
1,6/20/2013,22:33:07,68,64,5,15
1,6/30/2013,14:13:20,67,62,8,17
1,6/30/2013,3:13:20,68,68,30,14
1,6/28/2013,2:43:51,67,73,21,6
1,6/8/2013,0:43:51,67,75,18,8
1,6/28/2013,1:13:20,65,61,17,13
1,6/26/2013,3:13:19,66,75,30,17
1,6/8/2013,6:13:20,66,67,26,20
1,6/12/2013,0:33:07,68,59,29,18
1,6/8/2013,7:43:51,65,70,20,19
1,6/2/2013,17:43:51,67,65,15,11
1,6/28/2013,21:13:19,68,63,19,18
1,6/13/2013,13:13:20,67,56,22,15
1,6/11/2013,13:33:07,65,68,13,2
1,6/7/2013,21:13:20,68,56,27,5
1,6/11/2013,11:13:20,67,76,5,11
1,6/27/2013,2:13:20,65,56,8,16
1,6/24/2013,14:33:07,65,63,29,20
1,6/21/2013,5:13:19,65,67,9,10
1,6/4/2013,14:13:20,70,77,12,3
1,6/29/2013,9:00:01,69,75,6,20
1,6/2/2013,17:43:51,66,79,14,4
1,6/23/2013,3:00:01,67,57,25,5
1,6/29/2013,4:13:19,70,65,14,18
1,6/9/2013,21:13:20,66,69,19,7
1,6/30/2013,22:43:51,70,71,5,2
1,6/16/2013,12:00:01,68,71,19,15
1,6/25/2013,12:43:51,69,65,2,7
1,6/17/2013,13:00:01,70,72,10,20
1,6/13/2013,7:45:56,65,73,30,17
1,6/15/2013,2:43:51,66,63,24,3
1,6/17/2013,7:45:56,66,67,14,17
1,6/14/2013,13:00:01,67,57,13,13
1,6/29/2013,8:13:19,65,62,12,2
1,6/12/2013,11:00:01,65,74,30,13
1,6/3/2013,14:13:19,65,68,13,7
1,6/28/2013,20:00:01,66,62,23,15
1,6/1/2013,16:00:01,67,61,14,16
1,6/7/2013,3:13:20,67,57,28,3
1,6/23/2013,6:43:51,67,80,2,3
1,6/21/2013,1:00:01,68,75,6,8
1,6/23/2013,8:00:01,70,79,10,12
1,6/15/2013,3:33:07,69,68,13,14
1,6/23/2013,4:13:19,66,73,4,14
1,6/27/2013,9:13:20,65,63,27,7
1,6/5/2013,21:33:07,65,66,10,7
1,6/18/2013,11:13:20,66,70,21,14
1,6/7/2013,4:13:19,70,78,10,10
1,6/17/2013,8:13:19,70,73,29,18
1,6/27/2013,7:45:56,69,80,3,2
1,6/25/2013,17:43:51,68,60,13,12
1,6/12/2013,11:33:07,70,78,13,2
1,6/18/2013,23:13:20,67,70,28,19
1,6/30/2013,19:00:01,67,72,20,5
1,6/28/2013,18:33:07,65,76,22,6
1,6/30/2013,20:33:07,66,58,6,20
1,6/2/2013,23:13:19,68,65,6,8
1,6/30/2013,21:13:19,65,62,24,12
1,6/14/2013,0:33:07,69,55,23,14
1,6/6/2013,10:33:07,67,61,2,12
1,6/10/2013,6:00:01,65,58,6,9
1,6/25/2013,5:43:51,65,79,7,14
1,6/16/2013,2:33:07,67,76,2,2
1,6/4/2013,19:43:51,65,77,19,19
1,6/5/2013,0:33:07,66,80,5,18
1,6/30/2013,0:13:19,65,66,2,11
1,6/21/2013,9:45:56,66,56,17,19
1,6/19/2013,4:43:51,67,80,16,12
1,6/27/2013,9:00:01,70,66,18,14
1,6/27/2013,8:33:07,68,64,16,14
1,6/25/2013,7:00:01,67,77,25,9
1,6/1/2013,22:00:01,65,73,11,7
1,6/5/2013,23:13:19,65,75,18,7
1,6/21/2013,3:00:01,65,75,6,19
1,6/1/2013,17:33:07,69,69,3,3
1,6/3/2013,16:43:51,66,62,20,6
1,6/23/2013,5:00:01,68,61,15,5
1,6/18/2013,18:13:20,70,79,24,13
1,6/29/2013,2:00:01,69,64,23,16
1,6/10/2013,12:45:56,68,72,7,6
1,6/22/2013,18:13:20,68,68,15,8
1,6/29/2013,21:33:07,66,71,3,8
1,6/11/2013,15:33:07,67,57,27,20
1,6/20/2013,9:13:20,69,59,8,13
1,6/19/2013,8:13:20,68,58,24,9
1,6/13/2013,17:43:51,65,77,14,14
1,6/30/2013,22:43:51,65,55,20,5
1,6/30/2013,21:13:20,68,77,11,10
1,6/5/2013,2:43:51,70,79,15,5
1,6/26/2013,21:13:19,68,64,9,12
1,6/13/2013,14:00:01,69,67,13,15
1,6/24/2013,6:00:01,66,55,27,12
1,6/3/2013,0:43:51,65,59,27,12
1,6/2/2013,23:13:19,70,72,1,13
1,6/29/2013,11:00:01,68,74,2,15
1,6/28/2013,0:33:07,68,79,15,3
1,6/19/2013,23:13:19,68,66,21,19
1,6/1/2013,3:33:07,67,62,7,1
1,6/26/2013,6:13:20,69,69,13,8
1,6/20/2013,20:13:20,69,79,13,20
1,6/26/2013,17:13:19,70,77,7,6
1,6/12/2013,1:13:20,69,58,11,20
1,6/11/2013,12:43:51,69,77,20,1
1,6/22/2013,13:13:20,68,65,3,14
1,6/2/2013,7:45:56,67,66,8,4
1,6/30/2013,0:13:19,65,62,7,20
1,6/28/2013,2:43:51,67,71,2,15
1,6/2/2013,17:00:01,68,63,29,1
1,6/23/2013,21:13:20,65,74,29,1
1,6/26/2013,18:00:01,67,56,28,12
1,6/25/2013,13:13:19,66,66,28,18
1,6/10/2013,20:43:51,68,63,1,14
1,6/13/2013,5:00:01,69,63,15,16
1,6/6/2013,5:45:56,70,66,7,14
1,6/20/2013,8:13:19,67,78,3,1
1,6/20/2013,14:43:51,70,59,8,1
1,6/15/2013,15:13:19,66,67,21,10
1,6/21/2013,7:13:20,65,79,16,5
1,6/4/2013,23:13:20,66,80,23,4
1,6/4/2013,1:33:07,68,56,27,2
1,6/20/2013,20:13:19,68,76,13,7
1,6/28/2013,17:00:01,70,57,25,20
1,6/10/2013,2:33:07,66,69,9,8
1,6/8/2013,3:13:19,66,72,28,20
1,6/21/2013,16:33:07,65,80,10,18
1,6/23/2013,18:33:07,68,77,27,6
1,6/2/2013,6:33:07,66,68,30,11
1,6/25/2013,10:00:01,69,65,28,12
1,6/4/2013,7:13:20,68,79,11,17
1,6/28/2013,23:33:07,66,63,8,14
1,6/17/2013,16:45:56,69,58,14,9
1,6/13/2013,8:33:07,66,64,3,4
1,6/2/2013,8:33:07,69,74,25,20
1,6/9/2013,7:00:01,65,77,8,15
1,6/10/2013,6:13:20,65,57,5,17
1,6/21/2013,5:13:20,66,64,7,6
1,6/19/2013,20:00:01,66,55,15,13
1,6/21/2013,22:00:01,65,74,28,2
1,6/28/2013,2:13:19,68,55,24,2
1,6/21/2013,15:43:51,66,71,24,8
1,6/17/2013,1:13:20,70,64,9,10
1,6/20/2013,18:00:01,68,61,15,4
1,6/29/2013,7:00:01,69,75,21,20
1,6/29/2013,11:13:20,69,72,6,17
1,6/28/2013,18:33:07,65,65,18,15
1,6/14/2013,19:13:20,70,80,20,19
1,6/26/2013,5:33:07,70,63,29,5
1,6/21/2013,13:43:51,70,74,24,6
1,6/17/2013,15:00:01,70,55,5,2
1,6/27/2013,6:33:07,70,75,26,2
1,6/20/2013,6:13:19,66,73,5,3
1,6/22/2013,8:13:19,66,63,1,18
1,6/18/2013,23:13:19,70,59,16,10
1,6/22/2013,5:33:07,67,76,8,20
1,6/23/2013,2:33:07,67,65,12,12
1,6/3/2013,7:13:19,67,63,12,3
1,6/22/2013,1:33:07,66,69,23,9
