,Date,Time,TargetTemp,ActualTemp,System,SystemAge,BuildingID
6236,6/27/2013,3:33:07,68,57,1,6,17
7567,6/8/2013,0:33:07,70,67,1,12,14
3360,6/1/2013,6:13:20,67,67,1,7,9
4655,6/6/2013,15:13:19,66,58,1,8,18
2377,6/8/2013,21:43:51,67,73,1,11,4
7571,6/12/2013,4:33:07,65,71,1,11,14
7580,6/21/2013,13:33:07,70,67,1,26,1
738,6/19/2013,23:43:51,67,58,1,30,3
1487,6/18/2013,9:13:19,69,75,1,8,15
338,6/9/2013,2:33:07,69,78,1,15,18
7041,6/22/2013,21:33:07,66,79,1,15,15
3219,6/10/2013,4:45:56,67,77,1,8,19
2385,6/16/2013,5:13:20,66,69,1,9,14
6085,6/26/2013,20:43:51,66,60,1,24,8
4248,6/19/2013,11:43:51,65,78,1,3,12
3673,6/14/2013,7:13:19,67,75,1,24,20
744,6/25/2013,5:13:20,66,75,1,15,10
4954,6/5/2013,7:13:19,65,61,1,11,8
6082,6/23/2013,17:43:51,70,79,1,9,3
1862,6/3/2013,5:33:07,67,63,1,14,18
1501,6/2/2013,23:13:19,66,78,1,20,11
7627,6/8/2013,12:45:56,70,56,1,6,10
2204,6/15/2013,16:00:01,70,58,1,27,12
1504,6/5/2013,2:43:51,69,55,1,4,11
5378,6/9/2013,23:13:20,69,65,1,8,18
4951,6/2/2013,4:13:19,67,56,1,29,17
4245,6/16/2013,8:43:51,66,73,1,5,8
4949,6/30/2013,2:13:19,65,71,1,30,16
7063,6/14/2013,19:45:56,65,71,1,3,11
2372,6/3/2013,16:43:51,67,56,1,27,9
7525,6/26/2013,6:43:51,66,67,1,20,5
7526,6/27/2013,7:43:51,66,74,1,6,13
2363,6/24/2013,7:43:51,69,60,1,30,13
381,6/22/2013,21:00:01,66,56,1,12,17
6480,6/1/2013,7:33:07,69,67,1,2,18
2812,6/23/2013,5:13:20,66,70,1,5,11
5384,6/15/2013,5:33:07,65,73,1,5,18
7538,6/9/2013,19:43:51,69,70,1,12,4
6133,6/14/2013,20:33:07,66,71,1,3,7
1879,6/20/2013,22:33:07,68,64,1,5,15
5129,6/30/2013,14:13:20,67,62,1,8,17
1169,6/30/2013,3:13:20,68,68,1,30,14
717,6/28/2013,2:43:51,67,73,1,21,6
4237,6/8/2013,0:43:51,67,75,1,18,8
1167,6/28/2013,1:13:20,65,61,1,17,13
2215,6/26/2013,3:13:19,66,75,1,30,17
3907,6/8/2013,6:13:20,66,67,1,26,20
3071,6/12/2013,0:33:07,68,59,1,29,18
3697,6/8/2013,7:43:51,65,70,1,20,19
4441,6/2/2013,17:43:51,67,65,1,15,11
3687,6/28/2013,21:13:19,68,63,1,19,18
6102,6/13/2013,13:13:20,67,56,1,22,15
1870,6/11/2013,13:33:07,65,68,1,13,2
5136,6/7/2013,21:13:20,68,56,1,27,5
6100,6/11/2013,11:13:20,67,76,1,5,11
3356,6/27/2013,2:13:20,65,56,1,8,16
5153,6/24/2013,14:33:07,65,63,1,29,20
2030,6/21/2013,5:13:19,65,67,1,9,10
753,6/4/2013,14:13:20,70,77,1,12,3
4078,6/29/2013,9:00:01,69,75,1,6,20
4561,6/2/2013,17:43:51,66,79,1,14,4
4072,6/23/2013,3:00:01,67,57,1,25,5
268,6/29/2013,4:13:19,70,65,1,14,18
2828,6/9/2013,21:13:20,66,69,1,19,7
4259,6/30/2013,22:43:51,70,71,1,5,2
5175,6/16/2013,12:00:01,68,71,1,19,15
6984,6/25/2013,12:43:51,69,65,1,2,7
5176,6/17/2013,13:00:01,70,72,1,10,20
6552,6/13/2013,7:45:56,65,73,1,30,17
6974,6/15/2013,2:43:51,66,63,1,24,3
2176,6/17/2013,7:45:56,66,67,1,14,17
253,6/14/2013,13:00:01,67,57,1,13,13
4408,6/29/2013,8:13:19,65,62,1,12,2
251,6/12/2013,11:00:01,65,74,1,30,13
6962,6/3/2013,14:13:19,65,68,1,13,7
807,6/28/2013,20:00:01,66,62,1,23,15
1110,6/1/2013,16:00:01,67,61,1,14,16
1836,6/7/2013,3:13:20,67,57,1,28,3
2602,6/23/2013,6:43:51,67,80,1,2,3
4070,6/21/2013,1:00:01,68,75,1,6,8
1102,6/23/2013,8:00:01,70,79,1,10,12
2834,6/15/2013,3:33:07,69,68,1,13,14
6952,6/23/2013,4:13:19,66,73,1,4,14
2936,6/27/2013,9:13:20,65,63,1,27,7
784,6/5/2013,21:33:07,65,66,1,10,7
7007,6/18/2013,11:13:20,66,70,1,21,14
7686,6/7/2013,4:13:19,70,78,1,10,10
1126,6/17/2013,8:13:19,70,73,1,29,18
7646,6/27/2013,7:45:56,69,80,1,3,2
4254,6/25/2013,17:43:51,68,60,1,13,12
7031,6/12/2013,11:33:07,70,78,1,13,2
3377,6/18/2013,23:13:20,67,70,1,28,19
5609,6/30/2013,19:00:01,67,72,1,20,5
5157,6/28/2013,18:33:07,65,76,1,22,6
5159,6/30/2013,20:33:07,66,58,1,6,20
1141,6/2/2013,23:13:19,68,65,1,6,8
1139,6/30/2013,21:13:19,65,62,1,24,12
763,6/14/2013,0:33:07,69,55,1,23,14
3935,6/6/2013,10:33:07,67,61,1,2,12
4929,6/10/2013,6:00:01,65,58,1,6,9
7524,6/25/2013,5:43:51,65,79,1,7,14
765,6/16/2013,2:33:07,67,76,1,2,2
4563,6/4/2013,19:43:51,65,77,1,19,19
2404,6/5/2013,0:33:07,66,80,1,5,18
2759,6/30/2013,0:13:19,65,66,1,2,11
6530,6/21/2013,9:45:56,66,56,1,17,19
4668,6/19/2013,4:43:51,67,80,1,16,12
6026,6/27/2013,9:00:01,70,66,1,18,14
3386,6/27/2013,8:33:07,68,64,1,16,14
6024,6/25/2013,7:00:01,67,77,1,25,9
7680,6/1/2013,22:00:01,65,73,1,11,7
6304,6/5/2013,23:13:19,65,75,1,18,7
6020,6/21/2013,3:00:01,65,75,1,6,19
780,6/1/2013,17:33:07,69,69,1,3,3
2612,6/3/2013,16:43:51,66,62,1,20,6
6142,6/23/2013,5:00:01,68,61,1,15,5
6467,6/18/2013,18:13:20,70,79,1,24,13
4498,6/29/2013,2:00:01,69,64,1,23,16
5439,6/10/2013,12:45:56,68,72,1,7,6
1971,6/22/2013,18:13:20,68,68,1,15,8
7228,6/29/2013,21:33:07,66,71,1,3,8
4180,6/11/2013,15:33:07,67,57,1,27,20
2269,6/20/2013,9:13:20,69,59,1,8,13
2268,6/19/2013,8:13:20,68,58,1,24,9
612,6/13/2013,17:43:51,65,77,1,14,14
4139,6/30/2013,22:43:51,65,55,1,20,5
4469,6/30/2013,21:13:20,68,77,1,11,10
1264,6/5/2013,2:43:51,70,79,1,15,5
5515,6/26/2013,21:13:19,68,64,1,9,12
2322,6/13/2013,14:00:01,69,67,1,13,15
6383,6/24/2013,6:00:01,66,55,1,27,12
1262,6/3/2013,0:43:51,65,59,1,27,12
1261,6/2/2013,23:13:19,70,72,1,1,13
6388,6/29/2013,11:00:01,68,74,1,2,15
2097,6/28/2013,0:33:07,68,79,1,15,3
7398,6/19/2013,23:13:19,68,66,1,21,19
1980,6/1/2013,3:33:07,67,62,1,7,1
625,6/26/2013,6:13:20,69,69,1,13,8
6229,6/20/2013,20:13:20,69,79,1,13,20
1255,6/26/2013,17:13:19,70,77,1,7,6
2261,6/12/2013,1:13:20,69,58,1,11,20
5530,6/11/2013,12:43:51,69,77,1,20,1
4461,6/22/2013,13:13:20,68,65,1,3,14
511,6/2/2013,7:45:56,67,66,1,8,4
2999,6/30/2013,0:13:19,65,62,1,7,20
597,6/28/2013,2:43:51,67,71,1,2,15
1351,6/2/2013,17:00:01,68,63,1,29,1
4162,6/23/2013,21:13:20,65,74,1,29,1
565,6/26/2013,18:00:01,67,56,1,28,12
6294,6/25/2013,13:13:19,66,66,1,28,18
7299,6/10/2013,20:43:51,68,63,1,1,14
552,6/13/2013,5:00:01,69,63,1,15,16
3815,6/6/2013,5:45:56,70,66,1,7,14
6289,6/20/2013,8:13:19,67,78,1,3,1
6319,6/20/2013,14:43:51,70,59,1,8,1
